english,russian
artilleryman,артиллерист
artisan,ремесленник
artisanship,ремесленничество
artist,артс)художник
artiste,артист
artistic,художественный
artistically,артистически
artistry,артистичность
artless,простой
artlessly,просто
artlessness,безыскуственность
arts,искусство
arum,аронник
asbestosis,асбестоз
ascend,подниматься
ascendants,предок
ascertain,устанавливать
ascertainable,установимый
ascertainment,установление
ascetically,аскетически
asceticism,аскетизм
ascorbic,аскорбиновый
ascribe,приписывать
ascription,приписывание
asepsis,асептика
aseptically,асептически
asexual,бесполый
asexuality,асексуальность
asexually,асексуально
ash-tray,пепельница
ashamed,стыдно
ashamedly,стыдливо
ashen,пепельный
ashes,прах
ashram,ашрам
ashtray,пепельница
ashy,пепельный
asia,азия
asian,азиатский
asians,азиат
asiatic,азиатский
asiatics,азиат
asinine,дурацкий
asininely,глупо
asininity,глупость
askable,запрашиваемый
askance,косо
asked,просить
asker,проситель
askew,косо
aslant,наискось
asleep,спящий
asocial,асоциальный
asp,аспид
asparaginase,аспарагиназа
asparagus,спаржа
aspect,аспект
aspectual,видовой
asperity,грубость
asperse,клеветать
aspersion,клевета
aspersions,клевета
asphalted,асфальтированный
asphaltic,асфальтовый
asphaltines,асфальтин
asphodel,асфодель
asphyxia,удушение
asphyxiate,удушать
asphyxiation,удушение
aspic,заливное
aspirant,претендент
aspiration,стремление
aspirational,придыхательный
aspirator,отсос
aspire,стремиться
aspirin,аспирин
aspiringly,честолюбиво
assailant,налетчик
assailing,нападение
assassin,убийца
assassinate,убивать
assassinating,убивать
assassination,убийство
assaulted,нападать
assaulter,налетчик
assay,оценивать
assayed,оценивать
assayer,оценщик
assemblage,монтаж
assemulator,ассемулятор
assented,соглашаться
assenting,соглашаться
assents,соглашаться
assert,утверждать
assertable,утверждаемый
assertedly,убежденно
asserter,защитник
asserting,утверждать
assertion,утверждение
assertive,напористый
assertively,утвердительно
assertiveness,убедительность
assertor,защитник
asserts,утверждать
asses,осел
assessment,оценка
assessorial,оценивающий
asseverate,утверждать
asseveration,утверждение
asshole,зараза
assiduities,ухаживание
assiduity,усердие
assiduous,неутомимый
assiduously,усердно
assiduousness,усердие
assignable,назначаемый
assignation,назначение
assignee,правопреемник
assigner,цедент
assignor,цедент
assimilable,ассимилируемый
assimilate,усваивать
assimilates,усваивать
assimilation,усвоение
assimilative,ассимилирующий
assissin,убийца
assist,помогать
assistance,помощь
assistent,ассистент
assister,ассистент
assistor,ассистент
assn,ассоциация
assoc,ассоциация
association,ассоциация
associative,ассоциативный
associatively,ассоциативно
associativity,ассоциативность
asson,поджег
assonance,созвучие
assonant,созвучный
assonantly,созвучно
assort,сортировать
assotiation,ассоциация
assotiative,ассоциативный
asst,ассистент
assuage,смягчать
assuasive,успокаивающий
assumable,предполагаемый
assumably,предположительно
assume,принимать
assumedly,предположительно
assumption,предположение
assumptive,допускаемый
assumptively,допустимо
assurances,гарантия
assure,гарантировать
assuredly,несомненно
assurer,страховщик
assures,гарантировать
assuring,гарантировать
astable,неустойчивый
astatine,астатин
aster,астра
asterisk,звездочка
asterism,созвездие
asteroid,астероид
asteroidal,звездообразный
asthma,астма
astigmatic,астигматический
astigmatism,астигматизм
astonish,удивлять
astonishes,удивлять
astonishingly,удивительно
astonishment,удивление
astoria,астория
astound,поражать
astoundingly,поразительно
astral,астральный
astride,верхом
astrigency,терпкость
astringency,терпкость
astrloger,астролог
astrobiological,астробиологический
astrobiologist,астробиолог
astrobiology,астробиология
astrodynamic,астродинамический
astrodynamics,астродинамика
astrograph,астрограф
astrographic,астрографический
astrolabe,астролябия
astrologer,астролог
astrologic,астрологический
astrological,астрологический
astrologically,астрологически
astrologist,астролог
astrology,астрология
astronaut,астронавт
astronautics,астронавтика
astronics,астроника
astronomer,астроном
astronomic,астрономический
astronomical,астрономический
astronomically,астрономически
astronomy,астрономия
astrophysical,астрофизический
astrophysicist,астрофизик
astrophysics,астрофизика
astute,проницательный
astutely,проницательно
astuteness,проницательность
aswarm,толпой
asylum,приют
asymmetric,несимметричный
asymmetrical,несимметричный
asymmetrically,асимметрично
asymmetry,асимметрия
asymptomatic,бессимптомный
asymptote,асимптота
asymptotic,асимптотический
asymptotical,асимптотический
asymptotically,асимптотически
asymtote,асимптота
asynchronous,асинхронный
asyndetic,бессоюзный
ataman,атаман
atascadero,атаскадеро
atavism,атавизм
atavist,атавист
atavistic,атавистический
ataxia,атаксия
ate,есть
atechnic,неумелый
atelier,ателье
ateliers,ателье
atemporal,неопределенный
atheism,атеизм
atheist,атеист
atheistic,атеистический
atheistical,атеистический
atheistically,атеистически
atheletic,спортивный
atheletics,атлетика
athena,афина
athenaeum,атенеум
athens,афины
atherosclerosis,атеросклероз
atherosclerotic,артеросклеротический
athlete,атлет
athletic,атлетический
athletically,атлетически
athletics,атлетика
athwart,поперек
atilt,наперевес
atlanta,атланта
atlantic,атлантический
atlantis,атлантис
atlas,атлас
atm,#атм
atmosphere,атмосфера
atmospheres,атмосфера
atmospheric,атмосферный
atmospherical,атмосферный
atoll,атолл
atom,атом
atomically,атомно
atomicity,атомрность
atomism,атомизм
atomist,атомщик
atomization,распыление
atomize,распылять
atomizer,распылитель
atomosphere,атмосфера
atoms,атом
atonal,атональный
atonality,атональность
atonally,атонально
atone,искупать
atoned,искупать
atonement,искупление
atonements,искупление
atrocious,зверский
atrociously,ужасно
atrociousness,зверство
atrocity,зверство
atrophied,атрофированный
atropine,атропин
attache,атташе
attachee,атташе
attacked,атаковать
attacker,нападающий
attain,достигать
attainability,достижимость
attainable,достижимый
attainment,достижение
attaint,позор
attend,посещать
attendance,посещаемость
attendant,сопровождающий
attendantly,сопровождая
attended,посещать
attendees,посетитель
attender,служитель
attention,внимание
attentive,внимательный
attentively,внимательно
attentiveness,внимательность
attenuate,затухать
attenuation,ослабление
attenuator,аттенюатор
attestation,аттестация
attic,чердак
attired,одетый
attitude,отношение
attitudinize,позировать
attn,внимание
attract,привлекать
attractable,притягиваемый
attraction,притяжение
attractive,привлекательный
attractively,привлекательно
attractiveness,привлекательность
attributable,соотнесенный
attribution,присваивание
attributively,атрибутивно
attrition,истирание
attune,согласовывать
atty,адвокат
atwitter,дрожа
atypical,атипический
atypically,нетипично
auburn,каштановый
auctioneer,аукционист
auctorial,авторский
audacious,дерзкий
audaciously,дерзко
audaciousness,дерзость
audacity,дерзость
audibility,слышимость
audible,звуковой
audibly,слышно
audiogram,аудиограмма
audiometer,аудиометр
audiometric,аудиометрический
audiometry,аудиометрия
audiophile,аудиофил
audiotape,пленка
audiovisual,аудиовизуальный
auditable,проверяемый
audition,проба
auditioning,прослушивание
auditoria,аудитория
auditorium,аудитория
auditory,слуховой
aug,#авг
augend,слагаемое
auger,бурав
augmentability,дополнение
augmentation,увеличение
augmenter,дополнение
augmenting,увеличивать
auguring,предвещать
augury,предзнаменование
augustinian,августинец
augustly,величественно
augustness,величие
auk,гагарка
auld,старый
aunt,тетя
aura,ореол
aural,ушной
aurally,устно
aureate,золотистый
aureately,золотисто
aureole,ореол
auric,золотосодержащий
auricular,слуховой
auriferous,золотоносный
aurochs,тур
auroral,утренний
ausculate,выслушивать
auscultate,выслушивать
auscultation,выслушивание
auslander,иностранец
auspice,покровительство
auspices,покровительство
auspicious,благоприятный
auspiciously,благоприятный
auspiciousness,благоприятность
aussie,австралиец
austere,строгий
austerely,строго
austereness,суровость
austerity,строгость
austral,астраль
australia,австралия
austria,австрия
autarchy,автаркия
authentic,подлинный
authentical,аутентичный
authentically,аутентично
authenticate,удостоверять
authentication,аутентификация
authentications,аутентификация
authenticator,удостоверение
authenticity,достоверность
authentification,аутентификация
author,автор
authoress,автор
authorisation,разрешение
authorise,разрешать
authorised,уполномоченный
authoritarian,авторитарный
authoritative,авторитетный
authoritatively,авторитетно
authorize,уполномочивать
authorship,авторство
autism,аутизм
auto,авто
autoanswer,автоответ
autobahn,автобан
autobiographer,автобиограф
autobiographic,автобиографический
autobiography,автобиография
autobus,автобус
autochthonous,автохтонный
autoclave,автоклав
autocracies,автократия
autocracy,автократия
autocrat,автократ
autocratic,единовластный
autocratically,авторитарно
autodialer,автонабор
autodialing,автонабор
autodialling,автонабор
autodidact,автодидакт
autodidactic,автодидактический
autoequalization,автокомпенсация
autofax,автофакс
autogiro,автожир
autograph,автограф
autographic,автографический
autohypnosis,самогипноз
autoloader,автозагрузчик
autolysis,автолиз
automagical,автомагический
automaker,автопроизводитель
automat,автомат
automata,автомат
automate,автоматизировать
automates,автоматизировать
automatical,автоматический
automatically,автоматически
automatics,автоматика
automation,автоматизация
automatism,автоматизм
automatization,автоматизация
automatize,автоматизировать
automaton,автомат
automobile,автомобиль
automobilist,автомобилист
automonitor,автомонитор
automorphism,автоморфизм
automotive,автомобильный
autonomous,автономный
autonomously,автономно
autonomy,автономность
autopilot,автопилот
autopoll,автоопрос
autopolling,автоопрос
autoprogrammable,самопрограммирующийся
autopsy,вскрытие
autos,авто
autostrada,автострада
autosuggestion,самовнушение
autosuggestions,самовнушение
autotruck,грузовик
autumnal,осенний
aux,всп
auxin,ауксин
availably,доступно
aval,аваль
avalanches,аваланш
avarice,жадность
avariciously,жадно
avast,стой!
avatar,воплощение
avaunt,вон!
ave,#авен
avenge,мстить
avenged,мстить
avenger,мститель
avengingly,мстительно
avenue,авеню
aver,утверждать
averment,доказательство
averse,нерасположенный
aversion,отвращение
avert,предотвращать
avewnue,авеню
avewnues,авеню
avg,#ср
avian,птичий
aviarist,птицевод
aviary,вольер
aviation,авиация
aviator,авиатор
avicomp,авикомп
avid,жадный
avidity,жадность
avidly,жадно
avigation,аэронавигация
avion,аэроплан
aviso,авизо
avitaminoses,авитаминоз
avitaminosis,авитаминоз
avitaminotic,авитаминозный
avocado,авокадо
avocadoes,авокадо
avocados,авокадо
avocational,побочный
avocet,шилоклювка
avoid,избегать
avoidable,устранимый
avoidance,исключение
avoided,аннулировать
avoirdupois,тяжесть
avouch,утверждать
avow,признавать
avowedly,ясно
avowing,признавать
avulse,вырывать
avulsion,отрыв
avulsive,отрывающий
avuncular,дядин
await,ожидать
awaited,ожидать
awaits,ожидать
awake,будить
awaken,будить
awakening,пробуждение
awakens,будить
awakes,будить
aware,знающий
awareness,осведомленность
awash,переполненный
away,прочь
aweary,утомленный
awesome,грозный
awesomely,ужасно
awesomeness,грозность
awful,ужасный
awfully,ужасно
awfulness,ужас
awhile,немного
awhirl,кружась
awkward,неудобный
awkwardly,неуклюже
awkwardness,неловкость
awl,шило
awless,бесстрашный
awn,ость
awning,навес
awry,набок
ax,топор
axe,топор
axed,отрубленный
axeman,лесоруб
axes,ось
axial,осевой
axil,пазуха
axing,отрубать
axiom,аксиома
axiomatic,аксиоматический
axiomatically,аксиоматически
axiomatics,аксиоматика
axis,ось
axletree,ось
axon,аксон
azalea,азалия
azimuth,азимут
azimuthal,азимутальный
azolinic,азолиновый
aztec,ацтек
aztecan,ацтекский
azure,лазурный
baba,баба
babe,детка
babel,вавилонский
baboon,павиан
babu,бабу
babushka,платок
babyish,ребяческий
babylon,вавилон
babylonian,вавилонский
baccarat,баккара
bacillius,бацилла
bacillus,бацилла
backbreaking,непосильный
backdrop,фон
backer,покровитель
backgammon,триктрак
background,фон
backhanded,сомнительный
backlog,отставание
backoff,задержка
backout,возврат
backpack,рюкзак
backpassing,возвращение
backplate,щит
backrest,спинка
backset,задержка
backside,зад
backstop,подстраховывать
backtrace,след
backus,бэкус
backwardness,отсталость
backwater,заводь
bacon,бекон
bacteria,бактерия
bacterial,бактериальный
bacteriological,бактериологический
bacteriologist,бактериолог
bacteriology,бактериология
bacterium,бактерия
badge,символ
badger,барсук
badminton,бадминтон
badness,негодность
bafflement,озадаченность
bagel,бублик
baggy,мешковатый
baghdad,багдад
bagpipe,волынка
bahrain,бахрейн
baht,бат
bailiwick,часть
bake,печь
bakelite,бакелит
baker,пекарь
bakery,пекарня
balalaika,балалайка
balcony,балкон
bald,лысый
balderdash,билиберда
baldheaded,лысый
baldness,плешивость
bale,тюк
baleful,пагубный
bales,кипа
balkan,балканский
balky,упрямый
ballad,баллада
ballade,баллада
ballast,балласт
ballbearing,шарикоподшипник
ballerina,балерина
ballistic,баллистический
ballistics,баллистика
balloonist,воздухоплаватель
ballot,бюллетень
bally,чертовский
balm,бальзам
balmy,мягкий
baloney,вздор
balsa,бальза
balsam,бальзам
baltic,балтийский
baluster,балясина
balustrade,балюстрада
bam,бум
bambi,бэмби
banal,банальный
banality,тривиальность
banc,банк
band-master,капельмейстер
bandaid,лейкопластырь
bandbox,коробка
bandicoot,бандикут
banding,зона
bandmaster,капельмейстер
bandstand,эстрада
bandy,перебрасываться
bane,отрава
baneful,вредный
banish,выгонять
banishment,изгнание
banister,перила
banistor,перила
banistors,перила
bank-notes,банкноты
bankruptcy,банкротство
bannister,перила
banns,оглашение
banquet,банкет
bantamweight,легковес
banter,болтовня
baobab,баобаб
baptism,крещение
baptistery,баптистерий
baptistry,баптистерий
baptize,крестить
bar-keeper,буфетчик
baraboo,барабу
barb,зубец
barbaric,варварский
barbarism,варварство
barbarity,варварство
barbarous,варварский
barbed,колючий
barbell,штанга
barber,парикмахер
barberry,барбарис
barbershop,парикмахерская
barbiturate,барбитурат
barcarole,баркарола
barcelona,барселона
barcode,штрих-код
bare,чистый
bare-foot,босиком
bare-footed,босой
barefoot,босиком
barefooted,босой
barge,баржа
bargeman,бурлак
barite,барит
barium,барий
barking,лаять
barmaid,буфетчица
barman,бармен
barn,амбар
barnacle,прилипала
barnstorm,гастролировать
barometer,барометр
barometric,барометрический
baron,барон
baroness,баронесса
baronet,баронет
baronial,баронский
baroque,барокко
barrack,барак
barracks,казарма
barracuda,барракуда
barrage,преграда
barren,пустой
barricade,баррикада
barring,исключая
barrister,адвокат
barrometer,барометр
barroom,бар
barrow,тачка
bartender,бармен
basal,основной
base-ball,бейсбол
baseball,бейсбол
baseboard,панель
baseless,безосновательный
basement,фундамент
baseness,подлость
bash,хлопать
bashful,застенчивый
bashfulness,робость
basic,основной
basics,основа
basil,базилик
basilica,базилика
basin,бассейн
bask,нежиться
basket,корзина
basket-ball,баскетбол
basketball,баскетбол
basking,нежиться
basoon,фагот
bass,окунь
basso,бас
bassoon,фагот
bassoonist,фаготист
baste,поливать
bastion,бастион
batesville,бэйтсвилл
bath,ванна
bathe,купать
bathed,омывать
bather,купальщик
bathhouse,купальня
bathing-hut,кабина
bathrobe,халат
bathroom,ванная
bathtub,ванна
batiste,батист
battalion,батальон
batten,задраивать
battered,изношенный
batting,ватин
battle-plane,штурмовик
battleship,линкор
battleworthy,боеспособный
batty,сумасшедший
bauble,безделушка
baud,бод
baudot,бодо
bavarian,баварский
bawdy,сальный
bawl,орать
baxter,пекарь
bayesian,бейесовский
bazaar,базар
bazooka,гранатомет
beach,берег
beachhead,плацдарм
beacon,маяк
bead,цепочка
beaded,бисерный
beady,бисерный
beagle,гончая
beak,клюв
beanpole,каланча
bearable,допустимый
beard,борода
bearded,бородатый
beardless,безбородый
bearings,подшипник
bearish,снижающийся
beast,зверь
beastly,ужасно
beatific,блаженный
beatitude,блаженство
beau,поклонник
beautician,косметичка
beautification,украшение
beautiful,красивый
beautifully,красиво
beautify,украшать
beauty,красота
becalm,успокаивать
because,поскольку
beck,кивок
beckon,манить
becloud,заволакивать
become,становиться
bedazzle,ослеплять
bedbug,насекомое
bedeck,украшать
bedevil,мучить
bedlam,бедлам
bedouin,бедуин
bedpan,судно
bedraggled,растрепанный
bedroom,спальня
bedside,постель
bedsore,пролежень
bedspread,покрывало
bedstead,кровать
beef,говядина
beefsteak,бифштекс
beefy,мясистый
beehive,улей
beekeeper,пасечник
been,ъбыть
beer,пиво
beetle,жучок
befit,годиться
beforehand,заблаговременно
befuddle,дурманить
beg,просить
beget,порождать
beggar,нищий
beggarly,нищенский
beggary,нищенство
beginner,начинающий
begone,прочь
begonia,бегония
begrudge,завидовать
beguile,обольщать
behalf,сторона
behavior,поведение
behavioral,поведенческий
behaviorism,бихевиоризм
behaviour,поведение
behavioural,поведенческий
behead,обезглавливать
behemoth,бегемот
behest,диктовка
behold,созерцать
beholden,обязанный
behoof,польза
behoove,надлежать
beige,бежевый
beings,существо
beirut,бейрут
belated,запоздалый
beleaguer,осаждать
belfast,белфаст
belfry,колокольня
belgium,бельгия
belgrade,белград
belief,убеждение
believable,вероятный
believe,верить
believer,верующий
believing,полагать
belittle,преуменьшать
belladonna,белладонна
bellboy,коридорный
belle,красавица
bellflower,колокольчик
bellhop,коридорный
bellhousing,раструб
bellicose,агрессивный
belligerence,воинственность
belligerent,воюющий
bellows,мех
bells,сигнал
bellyband,подпруга
bellybutton,пупок
belong,принадлежать
belongings,вещь
below,пниже
beluga,белуга
belvedere,бельведер
bemist,затуманивать
bemused,растерянный
benchboard,пульт
benched,ступенчатый
benchtop,настольный
bendability,изгибаемость
beneath,под
benefactor,благодетель
beneficence,великодушие
beneficent,благодетельный
beneficiary,бенефициар
benevolence,благотворительность
benevolent,доброжелательный
benign,благоприятный
benz,бенц
benzapyrene,бензапирен
benzoin,бензоин
benzol,бензол
benzopyrene,бензопирен
bequeath,завещать
berate,ругать
bereave,лишать
bereavement,утрата
bereft,лишенный
beret,берет
beriberi,бери-бери
bering,берингов
berkelium,беркелий
berlin,берлин
bermuda,бермуда
bern,берн
bernadine,бернардинец
bernard,бернард
berne,берн
bernoulli,бернулли
berry,ягода
berserk,обезумевший
berwyn,беруин
beryl,берил
beseech,умолять
besiege,осаждать
besier,безье
besmirch,порочить
besom,веник
bespatter,забрызгивать
bespeak,предвещать
besprinkle,забрызгивать
bestial,животный
bestiality,зверство
bestow,вознаграждать
bestrew,разбрасывать
betake,отправляться
betel,бетель
bethel,бетел
betide,постигать
betoken,означать
betray,предавать
betrayal,предательство
betroth,помолвить
betrothal,помолвка
betterment,модернизация
between,между
betwix,:
betwixt,между
beverage,напиток
bevy,группа
bewail,сожалеть
beware,беречься
bewilderingly,странно
bewilderment,неразбериха
bewitch,околдовывать
beyond,за
bezel,индикатор
bi,дву
bib,нагрудник
bible,библия
bibliographer,библиограф
bibliographic,библиографический
bibliography,библиография
bibliophile,библиофил
bicameral,двухпалатный
bicarbonate,бикарбонат
biceps,бицепс
bicker,спорить
bicycle,велосипед
bicyclist,велосипедист
bidden,выжидать
bide,выжидать
bidet,биде
bidirectional,двунаправленный
bier,катафалк
bifacial,двуликий
bifocal,бифокальный
bifurcate,разветвляться
bifurcation,бифуркация
bigamist,двоеженец
bigamy,двоеженство
bigmouth,пустозвон
bigness,величина
bignum,сверхчисло
bigot,фанатик
bigoted,фанатический
bigticket,оборудование
bigwig,воротила
bike,велосипед
bilateral,двухсторонний
bile,желчь
bilevel,двухуровневый
bilge,днище
bilingual,двуязычный
bilingualism,двуязычие
bilious,желчный
bilk,обжуливать
billfold,бумажник
billiard,бильярдный
billiards,бильярд
billionaire,миллиардер
billionth,миллиардный
billow,вздыматься
billy,дубинка
bilogical,билогический
bim,баба
bimetallic,биметаллический
bimodal,бимодальный
bimorph,биморфный
bin,бункер
binary,двоичный
binder,скоросшиватель
binders,документ
bindery,переплетная
bindweed,вьюнок
binge,кутеж
bingo,лото-бинго
binoculars,бинокль
binomial,бином
bio,био
bioanalytical,биоаналитический
biocatalysts,биокатализатор
biochemical,биохимический
biochemist,биохимик
biochemistry,биохимия
biochip,биокристалл
biocomponent,биокомпонент
bioengineer,биоинженер
biographer,биограф
biographic,биографический
biographical,биографический
biography,биография
biologic,биологический
biological,биологический
biologically,биологически
biologist,биолог
biology,биология
biomass,биомасса
biometric,биометрический
bionics,бионика
biooxidation,биоокисление
biophysics,биофизика
biopreparation,биопрепарат
biopsy,биопсия
bioremedial,биоочищающий
bioremidial,биоочищающий
bios,Й
biosorbent,биосорбент
biostimulator,биостимулятор
biotechnologist,биотехнолог
biotechnology,биотехнология
biotin,биотин
bipartisan,двухпартийный
bipartite,двусторонний
biped,двуногий
biplane,биплан
biplexer,биплексер
bipolar,биполярный
biquinary,двоично-пятеричный
birch,береза
bird,птица
birdie,птичка
birmingham,бирмингем
birth,рождение
birthmark,родинка
biscuit,галета
bisect,разрезать
bisexual,двуполый
bishop,епископ
bismuth,висмут
bison,бизон
bistable,бистабильный
bistro,бистро
bit-by-bit,поразрядный
bitbucket,битбакет
bitch,сука
bitten,кусать
bitterly,горько
bittern,выпь
bitterness,горечь
bitters,горькан
bitumen,битум
bitwise,поразрядный
biunique,взаимно-однозначный
bivalent,двухвалентный
bivalve,двустворчатый
bivouac,бивуак
bizarre,причудливый
bizplan,бизнес-план
blab,болтать
blabbermouth,болтун
black,черный
blackball,забаллотировать
blackboard,доска
blacken,чернить
blackguard,подлец
blackhead,угорь
blacking,вакса
blackness,чернота
blackout,затемнение
blacksmith,кузнец
bladder,пузырь
blameless,безупречный
blameworthy,наказуемый
blanch,белить
bland,пресный
blandishment,уговор
blanking,гашение
blarney,лесть
blase,пресыщенный
blaspheme,кощунствовать
blasphemous,богохульный
blasphemy,кощунство
blatant,крикливый
blazon,герб
bleak,мрачный
blear,затуманивать
bleb,пузырек
bled,кровоточить
bleed,кровоточить
bleeder,гемофил
blender,смеситель
bless,благословлять
bletcherous,бездарный
blew,дуть
blimp,дирижабль
blinders,шоры
blindfold,вслепую
blindfolded,вслепую
blindly,слепо
blindness,слепота
blinds,штора
blinker,мигалка
bliss,блаженство
blissful,блаженный
blister,мозоль
blistering,палящий
blithe,жизнерадостный
blitzkrieg,блицкриг
blizzard,вьюга
bloat,раздувать
bloated,раздутый
blob,капля
bloc,блок
blocade,блокада
blockade,блокада
blockette,подблок
blockhead,тупица
blockhouse,блокгауз
blockmark,блок-маркер
blonde,блондинка
bloodcurdling,душераздирающий
bloodhound,ищейка
bloodless,бескровный
bloodletting,мед)кровопускание
bloodshed,кровопролитие
bloodstained,окровавленный
bloodsucker,кровопийца
bloodthirsty,кровожадный
bloody,кровавый
blossoms,цветы
blot,пятно
blotch,пятно
blotter,промокашка
blotting,промокательный
blouse,блуза
blower,вентилятор
blown,дуть
blue,синий
bluebell,колокольчик
bluefish,луфарь
bluish,голубоватый
blundering,ошибочный
bluntness,прямота
blur,смазывать
blurt,сболтнуть
blush,краснеть
blvd,бульвар
boar,хряк
boarder,пансионер
boarding,посадка
boards,плата
boardwalk,настил
boastful,хвастливый
boatman,лодочник
boatswain,боцман
bobbin,катушка
bobcat,рысь
bobsled,бобслей
boca,нос
bode,выжидать
bodice,корсаж
bodily,целиком
bodyguard,телохранитель
boeing,боинг
bog,трясина
bogeyman,бука
boggle,потрясать
boggy,болотистый
bogota,богота
bogotify,дезорганизовывать
bogus,поддельный
bohemia,богемия
bohemian,богемский
boilerman,истопник
boisterous,буйный
boldly,смело
boldness,смелость
bolivia,боливия
boll,коробочка
bologna,болонья
bolster,поддерживать
bom,змея
boma,змея
bombard,бомбардировать
bombardier,бомбардир
bombardment,бомбардировка
bombast,напыщенность
bombastic,напыщенный
bombay,бомбей
bomber,бомбардировщик
bona,хороший
bonanza,клад
bondage,рабство
bondsman,раб
bondwoman,рабыня
bonehead,остолоп
boner,промах
bonfire,костер
bonification,бонификация
bonn,бонн
bonnet,капот
bony,костистый
boo,освистывать
booby,балбес
bookbinder,переплетчик
booked,заказывать
booking,заказывать
booking-clerk,кассир
bookish,книжный
bookkeeper,бухгалтер
bookkeeping,бухгалтерия
booklet,буклет
bookmaker,букмекер
bookmobile,библиотека-передвижка
booknote,сноска
bookplate,экслибрис
boolean,логический
boomerang,бумеранг
boon,благо
boondocks,захолустье
boor,грубиян
boorish,хамский
boorishness,хамство
booster,ускоритель
booth,кабина
bootless,бесполезный
bootlicker,лизоблюд
bootstrapping,самозагрузка
booze,хмельное
bora,бора
borax,бура
bordeaux,бордо
bordereau,ведомость
boredom,скука
boric,борный
borland,Йинф)
boron,бор
borough,городок
borrowed,заимствовать
borrower,заемщик
borrowings,кредит
borsch,борщ
borscht,борщ
borsht,борщ
borzoi,борзая
bosom,грудь
bossy,властный
boston,бостон
botanical,ботанический
botanist,ботаник
botany,ботаника
both,оба
bothersome,надоедливый
bothway,двунаправленный
bottoming,насыщение
bottomless,бездонный
boudoir,будуар
bough,сук
bought,покупать
bouillon,бульон
boulder,валун
boulevard,бульвар
bouncer,вышибала
boundary,граница
boundless,безграничный
bountiful,обильный
bounty,щедрость
bouquet,букет
bourgeoisie,буржуазия
bout,схватка
boutonniere,бутоньерка
bovine,бычий
bowel,кишка
bower,беседка
bowknot,бант
bowlegged,кривоногий
bowling,кегли
bowsprit,бушприт
bowstring,тетива
box-keeper,капельдинер
boxer,боксер
boy,мальчик
boyar,боярин
boyfriend,друг
boyhood,детство
boyish,мальчишеский
bra,бюстгальтер
bracelet,браслет
brackish,солоноватый
brad,шпилька
brag,хвастаться
braggart,хвастун
brahman,брахман
brahmanism,брахманизм
brahmin,брахман
braille,брэйл
brainchild,детище
brainy,мозговитый
braise,тушить
bramble,куманика
brambling,юрок
bran,отруби
brandish,размахивать
brandy,брэнди
brant,казарка
brash,дерзкий
brasilia,бразилия
brassier,бюстгальтер
brat,негодяй
bravado,бравада
brave,смелый
bravely,храбро
bravery,храбрость
bravissimo,брависсимо
bravo,браво
brawler,драчун
brawny,мускулистый
bray,реветь
brazier,медник
brazil,бразилия
bread,хлеб
breadbasket,хлебница
breadboarding,макетирование
breadwinner,кормилец
break-even,безубыточный
breakable,ломкий
breakage,поломка
breakaway,обрыв
breaker,прерыватель
breakfast,завтрак
breakneck,опасный
breakthrough,прорыв
breakup,разрыв
breakwater,мол
bream,лещ
breast-stroke,брасс
breastbone,грудина
breastplate,нагрудник
breastwork,бруствер
breathe,дышать
breather,передышка
breathless,запыхавшийся
breathtaking,захватывающий
bred,выводить
breeches,бридж
breeder,коневод
breeze,бриз
breezy,ветреный
brethren,брат
brevity,краткость
brew,варить
brewer,пивовар
brewery,пивоварня
brg,мост
briar,шиповник
briarwood,шиповник
bribery,взятничество
bricklayer,каменщик
bride,невеста
bridegroom,жених
bridgehead,плацдарм
bridges,мост
bridgework,мост
bridging,замыкание
briefcase,портфель
briefest,кратчайший
briefly,кратко
brier,шиповник
brig,бриг
brigand,разбой
brigandage,разбойник
brighten,оживлять
brightly,ярко
brightness,яркость
brighton,брайтон
brilliance,блеск
brilliant,блестящий
brimming,заполнять
brine,рассол
brink,край
briny,соленый
briquette,брикет
brisk,живой
brisket,грудина
briskness,живость
bristly,щетинистый
bristol,бристоль
britain,великобритания
britannia,британия
britannica,британский
britches,бридж
british,британский
brittleness,ломкость
broach,вертел
broad,широкий
broadband,широкополосный
broadcaster,транслятор
broadcloth,сукно
broaden,расширять
broadly,широко
broadside,залп
broadsword,палаш
broadtail,каракульча
brocade,парча
brocaded,парчовый
broccoli,брокколи
brochure,граф)брошюра
brogan,ботинок
broil,жарить
broiler,бройлер
broke,разрушать
bromide,бромид
bromine,бром
bromodichloromethane,бромодихлорометан
bronchi,бронха
bronchial,бронхиальный
bronchitis,бронхит
brontosaurus,бронтозавр
brooch,брошь
brood,выводок
brook,ручей
brooklyn,бруклин
broom,метла
broomstick,метла
broth,бульон
brothel,бордель
brotherhood,братство
brotherly,братский
brow,бровь
browbeat,запугивать
brown,коричневый
brownie,домовой
brownnoser,лизоблюд
bruise,ушиб
brunei,бруней
brunet,брюнетка
brunette,брюнетка
brushwork,кисть
brusque,грубый
brusquely,грубо
brussels,брюссель
brutal,грубый
brutality,зверство
brutally,зверски
brute,грубый
bryn,брин
bubo,бубон
bubonic,бубонный
buccal,ротовой
buccaneer,пират
buckram,коленкор
bucks,доллар
buckshot,картечь
buckthorn,крушина
bucolic,деревенский
budapest,будапешт
buddhism,буддизм
buddhist,буддист
buddy,приятель
budge,шевелиться
budgetary,бюджетный
budgets,ресурс
buf,буфер
buffalo,буйвол
buffet,буфет
buffoon,шут
